_id;event;venue;machine;vendType;productName;transactionDate;quantity;quantitySet;totalStamps;currency;value;paymentStatus;sesionId;etiquetasRollo1;etiquetasRollo2;etiquetaMes;titutoEvento;feria;Lugar;fecha;mes;annio;documento
SJeehPXyC8LxHSDji;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:56:43;1;1;1;EUR;0.70;FERIA;60;0;277;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
qxQ9ZLkB4w3moFF9S;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:56:45;1;1;1;EUR;0.70;FERIA;61;0;276;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
J5bNSRJJhwD53xBha;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:56:47;1;1;1;EUR;0.70;FERIA;62;0;275;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
bnbFSQvu93TxLpSDm;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:57:45;1;1;1;EUR;1.40;FERIA;63;0;274;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
NHdvBurXJKjBTRuCn;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:57:47;1;1;1;EUR;1.40;FERIA;64;0;273;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
DjJuWQxJ2zFvaenRG;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:57:49;1;1;1;EUR;1.40;FERIA;65;0;272;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
gh5LaZrBa6S5Mtpxv;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:57:51;1;1;1;EUR;1.40;FERIA;66;0;271;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
zpWmBSS8bLHj8zGmx;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:57:53;1;1;1;EUR;1.40;FERIA;67;0;270;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
Mcnm5ifT32Cd2pcoz;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:58:44;1;1;1;EUR;1.50;FERIA;68;0;269;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
cZPQ6KoYnWfcRxaT3;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:58:47;1;1;1;EUR;1.50;FERIA;69;0;268;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
